Subset|Measure|Year|Value|Intercept|Slope|N
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2011|249.89196855|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2012|252.43226726|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2013|258.95406534|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2014|256.09620867|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2015|253.1151849|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2016|255.97610191|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2017|255.62042923|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2018|254.68934886|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2019|258.47256685|-1609.04947|0.9249194447|51
Top 50 Most Similar US Counties (n=51) (slope=92.49%)|MDs/DOs Per 100k|2020|259.76707898|-1609.04947|0.9249194447|51
