Subset|Measure|Bin Index|Bin|Santa Barbara|N Counties
Top 50 Most Similar US Counties|MD Specialists Per 100k|17|184 - 195|Bin without SB|1
Top 50 Most Similar US Counties|MD Specialists Per 100k|18|195 - 206|Bin without SB|0
Top 50 Most Similar US Counties|MD Specialists Per 100k|19|206 - 217|Bin without SB|0
Top 50 Most Similar US Counties|MDs/DOs Per 100k|0|4 - 28|Bin without SB|0
Top 50 Most Similar US Counties|MDs/DOs Per 100k|1|28 - 52|Bin without SB|0
Top 50 Most Similar US Counties|MDs/DOs Per 100k|2|52 - 76|Bin without SB|0
Top 50 Most Similar US Counties|MDs/DOs Per 100k|3|76 - 100|Bin without SB|0
Top 50 Most Similar US Counties|MDs/DOs Per 100k|4|100 - 124|Bin without SB|2
Top 50 Most Similar US Counties|MDs/DOs Per 100k|5|124 - 149|Bin without SB|3
Top 50 Most Similar US Counties|MDs/DOs Per 100k|6|149 - 173|Bin without SB|2
Top 50 Most Similar US Counties|MDs/DOs Per 100k|7|173 - 197|Bin without SB|4
Top 50 Most Similar US Counties|MDs/DOs Per 100k|8|197 - 221|Bin with SB|7
Top 50 Most Similar US Counties|MDs/DOs Per 100k|9|221 - 245|Bin without SB|7
Top 50 Most Similar US Counties|MDs/DOs Per 100k|10|245 - 269|Bin without SB|4
Top 50 Most Similar US Counties|MDs/DOs Per 100k|11|269 - 294|Bin without SB|4
Top 50 Most Similar US Counties|MDs/DOs Per 100k|12|294 - 318|Bin without SB|5
Top 50 Most Similar US Counties|MDs/DOs Per 100k|13|318 - 342|Bin without SB|5
Top 50 Most Similar US Counties|MDs/DOs Per 100k|14|342 - 366|Bin without SB|3
Top 50 Most Similar US Counties|MDs/DOs Per 100k|15|366 - 390|Bin without SB|0
Top 50 Most Similar US Counties|MDs/DOs Per 100k|16|390 - 415|Bin without SB|1
Top 50 Most Similar US Counties|MDs/DOs Per 100k|17|415 - 439|Bin without SB|0
Top 50 Most Similar US Counties|MDs/DOs Per 100k|18|439 - 463|Bin without SB|2
Top 50 Most Similar US Counties|MDs/DOs Per 100k|19|463 - 487|Bin without SB|2
